,program,output
0,OP5 13 ; OP7 -2 ; OP1 1 ; OP8 2 ; OP10 0 ; OP10 1 ; OP2 1 ; OP5 12 ; OP8 -4 ; OP1 1,-48
1,OP5 -14 ; OP12 11 ; OP8 2 ; OP4 -3 ; OP12 17 ; OP12 1 ; OP7 13 ; OP9 3 ; OP4 2 ; OP1 2,3
2,OP5 -14 ; OP5 -8 ; OP12 5 ; OP4 -4 ; OP6 -2 4 0 3,0
3,OP5 -8 ; OP6 3 4 4 0 -4 ; OP4 2,0
4,OP5 -14 ; OP9 4 ; OP3 6 ; OP5 6 ; OP12 18 ; OP11 1 -3 ; OP5 4 ; OP8 8 ; OP12 17,49
5,OP5 -2 ; OP2 -3 ; OP3 7 ; OP7 -13 ; OP5 -7 ; OP8 -7 ; OP1 0 ; OP10 1 ; OP1 4,53
6,OP5 7 ; OP10 -2 ; OP5 6 ; OP2 4 ; OP1 1 ; OP6 -2 1 ; OP12 19 ; OP2 -3 ; OP11 -9 -8,72
7,OP5 15 ; OP9 4 ; OP12 -2 ; OP1 2 ; OP6 -4 3 -2 -4 ; OP1 3 ; OP5 -11 ; OP3 8 ; OP5 7,7
8,OP5 7 ; OP8 -8 ; OP12 9 ; OP7 -5 ; OP10 -5 ; OP11 -5 -8 ; OP11 -4 -1 ; OP3 8 ; OP1 1 ; OP6 -2 -3 4,24
9,OP2 4 ; OP6 2 3 4 0 4 ; OP2 -2 ; OP11 7 2 ; OP1 1 ; OP10 -5 ; OP5 -19 ; OP4 0 ; OP5 16 ; OP1 2,16
10,OP5 1 ; OP9 -5 ; OP4 2 ; OP9 2 ; OP6 -3 4 1 ; OP3 6 ; OP6 2 -3 -1 0 0,0
11,OP5 8 ; OP10 -2 ; OP5 0 ; OP3 5 ; OP9 0 ; OP2 4,0
12,OP5 17 ; OP9 5 ; OP5 -2,-2
13,OP5 20 ; OP5 -11 ; OP1 1 ; OP8 -5 ; OP1 1 ; OP8 8,440
14,OP5 -5 ; OP4 -4 ; OP7 4 ; OP1 1,-8
15,OP5 -2 ; OP9 -5 ; OP1 0,-2
16,OP5 10 ; OP8 -4 ; OP11 -10 3,-30
17,OP5 0 ; OP2 -4 ; OP4 -4 ; OP11 -3 4 ; OP1 1 ; OP12 2 ; OP12 0 ; OP5 -15 ; OP6 4 -3 ; OP8 2,-24
18,OP5 -3 ; OP9 -5 ; OP1 1 ; OP1 2 ; OP9 -1,-3
19,OP5 -6 ; OP10 -4 ; OP6 1 -4 0 ; OP5 -1 ; OP1 1 ; OP12 12 ; OP1 4 ; OP11 -2 -7,14
20,OP5 -11 ; OP12 -12 ; OP3 4 ; OP1 0 ; OP11 4 -2 ; OP9 -3 ; OP1 4 ; OP1 6 ; OP7 2,-10
21,OP5 -2 ; OP6 2 3 ; OP6 -3 4 -4 ; OP8 -1 ; OP1 0 ; OP4 -2 ; OP1 4,-12
22,OP5 -19 ; OP2 3 ; OP5 -9 ; OP3 6 ; OP10 -2 ; OP7 10 ; OP5 7 ; OP4 -2,3
23,OP5 10 ; OP7 -16 ; OP9 -2 ; OP4 4 ; OP1 2 ; OP7 -2,8
24,OP9 3 ; OP12 -18 ; OP2 2 ; OP1 0 ; OP11 -9 -8 ; OP5 11 ; OP7 -19 ; OP1 6,49
25,OP5 15 ; OP12 -20 ; OP7 5 ; OP11 -9 -7 ; OP1 1 ; OP1 2,63
26,OP5 5 ; OP2 -2 ; OP1 0 ; OP1 0 ; OP8 -2 ; OP3 8 ; OP1 2 ; OP1 6 ; OP10 -2 ; OP1 7,100
27,OP5 2 ; OP4 -3 ; OP3 8 ; OP4 -4 ; OP1 0 ; OP1 2 ; OP1 1 ; OP1 0 ; OP1 0,0
28,OP5 15 ; OP9 5 ; OP7 -20 ; OP12 -13,22
29,OP5 -1 ; OP11 7 7 ; OP3 3 ; OP6 1 -3 ; OP4 -4,-2
30,OP5 16 ; OP6 0 -1 ; OP6 3 -1 4 ; OP2 -3 ; OP1 1 ; OP8 -7 ; OP11 1 -1,-1
31,OP5 -5 ; OP11 -9 -7 ; OP7 14,49
32,OP5 10 ; OP11 -7 8 ; OP12 10 ; OP6 -2 -3 -3 2 -2,72
33,OP5 -20 ; OP5 8 ; OP1 1 ; OP10 -3,-20
34,OP5 1 ; OP9 1 ; OP11 -5 5 ; OP2 -3 ; OP12 14,-11
35,OP11 -4 7 ; OP9 4 ; OP1 0 ; OP7 -8 ; OP3 8 ; OP12 17 ; OP2 -3 ; OP12 6 ; OP9 -4,-20
36,OP5 -20 ; OP8 6 ; OP1 0 ; OP2 -3 ; OP7 -5 ; OP4 -5 ; OP7 3 ; OP1 0 ; OP10 -2 ; OP1 1,-750
37,OP5 17 ; OP7 14 ; OP6 -1 3 -2 ; OP4 -5 ; OP6 2 -1 -3 3,18
38,OP5 -13 ; OP10 5 ; OP11 -8 1 ; OP3 5 ; OP7 16 ; OP10 2 ; OP7 14 ; OP8 -4,104
39,OP5 9 ; OP7 -8 ; OP6 -2 2 ; OP1 2 ; OP7 10 ; OP8 2 ; OP11 -8 3 ; OP10 -5 ; OP1 1 ; OP5 -1,-1
40,OP5 3 ; OP2 4 ; OP8 5 ; OP1 0 ; OP1 3 ; OP8 -5 ; OP2 1,-75
41,OP5 -9 ; OP6 1 -4 -2 ; OP1 1 ; OP8 7 ; OP10 -1 ; OP4 2,-26
42,OP2 -5 ; OP2 3 ; OP11 -2 3 ; OP10 -4 ; OP3 5 ; OP7 16 ; OP5 -9 ; OP1 5 ; OP7 -12 ; OP1 3,3
43,OP5 8 ; OP7 -18 ; OP3 3 ; OP6 1 -4 ; OP6 1 -4 -4 -4 ; OP4 1 ; OP8 -9,288
44,OP5 0 ; OP2 5 ; OP8 -5 ; OP10 -3 ; OP1 2 ; OP12 2 ; OP1 0 ; OP1 3 ; OP9 -5 ; OP5 1,1
45,OP5 7 ; OP9 1 ; OP6 -4 -4,16
46,OP5 -13 ; OP4 -3 ; OP3 3 ; OP10 3 ; OP4 -5 ; OP1 2 ; OP1 1 ; OP1 3,-9
47,OP9 2 ; OP9 5 ; OP4 5 ; OP6 -4 0 ; OP6 -3 -1 2 ; OP5 -8,-8
48,OP5 8 ; OP7 -2 ; OP7 18,-8
49,OP5 -15 ; OP9 -5 ; OP6 2 3 4 4 ; OP1 1 ; OP1 1 ; OP1 1 ; OP7 15 ; OP6 2 -2 4 ; OP11 0 -7 ; OP7 5,-5
50,OP7 -16 ; OP11 -3 -3 ; OP7 4 ; OP11 -8 10 ; OP12 0 ; OP4 -2 ; OP2 0 ; OP6 4 0 ; OP10 4 ; OP11 8 4,32
51,OP5 17 ; OP11 5 -5 ; OP10 0,4
52,OP5 12 ; OP11 2 10 ; OP2 -2,20
53,OP5 -13 ; OP8 -9 ; OP8 -1,-117
54,OP5 13 ; OP5 18 ; OP3 3 ; OP1 2 ; OP1 1 ; OP1 3,18
55,OP5 -8 ; OP6 3 1 2 -4 -2 ; OP4 -2 ; OP7 -3 ; OP6 -1 2 ; OP10 -1,6
56,OP5 -15 ; OP2 4 ; OP1 1 ; OP1 2 ; OP1 2 ; OP6 1 2 -4 -1 0 ; OP5 -8 ; OP10 3,-20
57,OP5 -2 ; OP11 4 -2 ; OP3 5 ; OP1 2 ; OP5 20 ; OP4 -3 ; OP6 1 0 -2 1 ; OP12 3 ; OP6 -4 -3 -2,-24
